Fecha;Cierre;Apertura
28-12-2017;29.17;29.6
27-12-2017;29.58;29.705
22-12-2017;29.615;29.66
21-12-2017;29.93;29.54
20-12-2017;29.53;29.86
19-12-2017;29.805;29.955
18-12-2017;30.01;30.225
14-12-2017;30.72;31.4
13-12-2017;31.295;32
12-12-2017;30.765;31.23
11-12-2017;31.15;31.22
08-12-2017;31.075;31.28
07-12-2017;30.97;30.73
06-12-2017;30.605;30.2
05-12-2017;30.38;30.43
04-12-2017;30.575;29.825
01-12-2017;29.57;29.74
30-11-2017;29.74;29.745
29-11-2017;29.775;29.96
28-11-2017;29.84;29.655
27-11-2017;29.6;29.385
24-11-2017;29.475;29.22
23-11-2017;29.275;29.25
22-11-2017;29.28;29.33
21-11-2017;29.36;29.525
20-11-2017;29.5;29.25
17-11-2017;29.265;29
16-11-2017;29.755;29.36
15-11-2017;29.19;29.39
14-11-2017;29.385;29.41
13-11-2017;29.335;29.65
10-11-2017;29.555;29.775
09-11-2017;29.73;30.055
08-11-2017;30.1;29.96
07-11-2017;29.96;30.89
06-11-2017;30.885;31.05
03-11-2017;31.15;31.3
02-11-2017;31.2;31.48
01-11-2017;31.47;32.305
31-10-2017;32.095;31.99
30-10-2017;32.185;31.51
27-10-2017;31.26;31.52
26-10-2017;31.48;30.715
25-10-2017;30.6;30.91
24-10-2017;30.92;30.95
23-10-2017;30.95;30.97
20-10-2017;30.99;31.04
19-10-2017;30.895;31.3
18-10-2017;31.26;31.565
17-10-2017;31.445;31.05
16-10-2017;31.12;31.17
13-10-2017;31.18;31.4
12-10-2017;31.4;31.475
11-10-2017;31.4;31.23
10-10-2017;31;31.3
09-10-2017;31.3;31.245
06-10-2017;30.945;31.19
05-10-2017;31.24;30.725
04-10-2017;30.655;31.28
03-10-2017;31.31;31.465
02-10-2017;31.47;31.74
29-09-2017;31.885;31.805
28-09-2017;31.71;31.6
27-09-2017;31.585;31.625
26-09-2017;31.515;31.565
25-09-2017;31.525;31.58
22-09-2017;31.91;32.00
21-09-2017;31.995;32.49
20-09-2017;32.41;32.2
19-09-2017;32.685;31.985
18-09-2017;32.535;32.685
15-09-2017;32.65;32.35
14-09-2017;32.345;32.29
13-09-2017;32.175;31.955
12-09-2017;32.05;31.67
11-09-2017;31.45;31.115
08-09-2017;30.895;31.105
07-09-2017;31.115;31.345
06-09-2017;31.2;31.03
05-09-2017;31.165;31.4
04-09-2017;31.545;31.625
01-09-2017;31.85;32.015
31-08-2017;31.915;33.05
30-08-2017;33.105;33.385
29-08-2017;33.225;33
28-08-2017;33.005;33.26
25-08-2017;33.41;33.35
24-08-2017;33.445;33.58
23-08-2017;33.44;33.67
22-08-2017;33.665;33.81
21-08-2017;33.61;33.45
18-08-2017;33.445;33.535
17-08-2017;33.77;33.8
16-08-2017;33.76;33.79
15-08-2017;33.59;33.505
14-08-2017;33.43;33.205
11-08-2017;33.17;33.4
10-08-2017;33.595;34.04
09-08-2017;34.04;34.125
08-08-2017;34.355;33.875
07-08-2017;33.955;34.13
04-08-2017;33.96;33.6
03-08-2017;33.68;33.75
02-08-2017;33.75;33.88
01-08-2017;33.88;34.03
31-07-2017;33.59;33.6
28-07-2017;33.5;33.5
27-07-2017;33.745;33.485
26-07-2017;33.62;33.39
25-07-2017;33.39;33.72
24-07-2017;33.645;33.625
21-07-2017;33.625;33.96
20-07-2017;34.17;34.22
19-07-2017;34.22;33.81
18-07-2017;33.72;34.4
17-07-2017;34.55;34.32
14-07-2017;34.2;34.16
13-07-2017;34.05;33.9
12-07-2017;33.79;33.35
11-07-2017;33.34;33.89
10-07-2017;33.745;33.675
07-07-2017;33.635;33.735
06-07-2017;33.535;34.045
05-07-2017;33.89;33.825
04-07-2017;33.795;33.72
03-07-2017;33.84;33.705
